                           CherchePtData 0x1300
                            DonnePtRedir 0x1301
                                __STDOUT 0x1302
                      OS_rtc_CurrentTask 0x1303
                       OS_rtc_WaitEvents 0x1304
                      OS_rtc_SignalEvent 0x1305
                      OS_rtc_ClearEvents 0x1306
                                OS_rtc_V 0x1307
                                OS_rtc_P 0x1308
                      OS_rtc_StartLDelay 0x1309
                        OS_rtc_StopDelay 0x130A
                      OS_rtc_EnterRegion 0x130B
                      OS_rtc_LeaveRegion 0x130C
                    OS_rtc_InitSemaphore 0x130D
                            OS_rtc_TestP 0x130E
                             OS_rtc_Send 0x130F
                      OS_rtc_InitMailBox 0x1310
                          OS_rtc_Receive 0x1311
                        OS_rtc_TaskState 0x1312
                                  fclose 0x1313
                                   fopen 0x1314
                               SWI_fread 0x1315
                              SWI_fwrite 0x1316
                                clearerr 0x1317
                                  ferror 0x1318
                                    getc 0x1319
                               reset_buf 0x131A
                                 __STDIN 0x131B
                              mask_event 0x131C
                         mask_event_read 0x131D
                                  status 0x131E
                                   blink 0x131F
                                  gotoxy 0x1320
                                  wherex 0x1321
                                  wherey 0x1322
                               _vfprintf 0x1323
                                vsprintf 0x1324
                                   fgets 0x1325
                                   fputc 0x1326
                                   fputs 0x1327
                                    putc 0x1328
                                ttestall 0x1329
                                    fork 0x132A
                                    kill 0x132B
                               FormatOem 0x132C
                           linkPerRamRom 0x132D
                                sem_user 0x132E
                            mailbox_user 0x132F
                              delay_user 0x1330
                               task_user 0x1331
                                EMV_apdu 0x1332
                              power_down 0x1333
                         power_down_sync 0x1334
                            EMV_power_on 0x1335
                                power_on 0x1336
                           power_on_sync 0x1337
                           input_command 0x1338
                          output_command 0x1339
                              f_sync_fct 0x133A
                          GetIccProtocol 0x133B
                              SWI_memcpy 0x133C
                             SWI_memmove 0x133D
                              SWI_strcpy 0x133E
                             SWI_strncpy 0x133F
                              SWI_strcat 0x1340
                             SWI_strncat 0x1341
                              SWI_memcmp 0x1342
                              SWI_strcmp 0x1343
                             SWI_strcoll 0x1344
                             SWI_strncmp 0x1345
                              SWI_memset 0x1346
                         ObjectGetNumber 0x1347
                           ObjectGetInfo 0x1348
                              ObjectLoad 0x1349
                         ObjectWriteInfo 0x134A
                               FreeSpace 0x134B
                             ServiceCall 0x134C
                         ServiceRegister 0x134D
                              ServiceGet 0x134E
                           ServiceRemove 0x134F
                                 DllLink 0x1350
                                DllGetId 0x1351
                               DllUnlink 0x1352
                               PageAlloc 0x1353
                                PageFree 0x1354
                             PageProtect 0x1355
                                stdperif 0x1356
                           ChngEventFile 0x1357
                                CopyFile 0x1358
                             StartBuzzer 0x1359
                              StopBuzzer 0x135A
                     StartRetroEclairage 0x135B
                      StopRetroEclairage 0x135C
                               read_date 0x135D
                              write_date 0x135E
                                  dalloc 0x135F
                                    copy 0x1360
                                  putcrc 0x1361
                                   dfree 0x1362
                                  salloc 0x1363
                            copy_systeme 0x1364
                                    call 0x1365
                                init_ksu 0x1366
                       check_application 0x1367
                                  cursor 0x1368
                             startupcv20 0x1369
                                  dspdef 0x136A
                            dspdef_reset 0x136B
                       defdisplaypattern 0x136C
                                  myvisu 0x136D
                         GetDisplayModel 0x136E
                                GetWidth 0x136F
                               GetHeight 0x1370
                                  SysCmd 0x1371
                             auto_repeat 0x1372
                               ctrl_date 0x1373
                       defprinterpattern 0x1374
                                download 0x1375
                                  encrit 0x1376
                                  excrit 0x1377
                                OEM_exit 0x1378
                     lire_infos_terminal 0x1379
                               isbattery 0x137A
                                 is_iso2 0x137B
                                 is_iso3 0x137C
                                 is_iso1 0x137D
                             key_c_alpha 0x137E
                              paper_feed 0x137F
                                 powered 0x1380
                        print_diagnostic 0x1381
                            send_receive 0x1382
                                shutdown 0x1383
                   upload_diagnostic_cpt 0x1384
                   upload_diagnostic_def 0x1385
                   upload_diagnostic_txt 0x1386
                        OS_rtc_StartTask 0x1387
                         OS_rtc_StopTask 0x1388
                        OS_rtc_Terminate 0x1389
                                FS_start 0x138A
                            FS_dskcreate 0x138B
                              FS_dskkill 0x138C
                                FS_mount 0x138D
                              FS_unmount 0x138E
                               FS_format 0x138F
                             FS_readmode 0x1390
                              FS_chgmode 0x1391
                              FS_dsksize 0x1392
                              FS_dskfree 0x1393
                              FS_dsklist 0x1394
                              FS_opendir 0x1395
                              FS_readdir 0x1396
                             FS_closedir 0x1397
                               FS_rename 0x1398
                               FS_unlink 0x1399
                                FS_exist 0x139A
                                 FS_open 0x139B
                                FS_close 0x139C
                             SWI_FS_read 0x139D
                            SWI_FS_write 0x139E
                                FS_flush 0x139F
                                FS_trunc 0x13A0
                               FS_length 0x13A1
                                 FS_seek 0x13A2
                                 FS_tell 0x13A3
                                  FS_eof 0x13A4
                    FS_GarbageCollection 0x13A5
                                exit_txt 0x13A6
                                  calcrc 0x13A7
                                info_seg 0x13A8
                             info_seg_SE 0x13A9
                                 num_seg 0x13AA
                              first_init 0x13AB
                           first_init_SE 0x13AC
                                raz_init 0x13AD
                             raz_init_SE 0x13AE
                    suppr_info_seg_appli 0x13AF
                             suppr_appli 0x13B0
                               suppr_dll 0x13B1
                   ApplicationGetCurrent 0x13B2
                                   iscrc 0x13B3
                             esc_command 0x13B4
                        reset_diagnostic 0x13B5
                      OS_rtc_TestReceive 0x13B6
                    RegisterPowerFailure 0x13B7
                       remote_diagnostic 0x13B8
                                  buzzer 0x13B9
                              cnfbattery 0x13BA
                    entete_message_ident 0x13BB
                                cle_luhn 0x13BC
                                  fbreak 0x13BD
                              GiveNoTask 0x13BE
                                    ddir 0x13BF
                                    find 0x13C0
                                   trace 0x13C1
                               InitGkDrv 0x13C2
                                CallHost 0x13C3
                    NTP_SoftwareActivate 0x13C4
                     ObjectGetDescriptor 0x13C5
                  UnregisterPowerFailure 0x13C6
                   OS_rtc_EventsOccurred 0x13C7
                        GetPeriphVersion 0x13C8
                     defprinterpatternHR 0x13C9
                                 FS_Diag 0x13CA
                                  KsuRst 0x13CB
                                  accept 0x13CC
                                    bind 0x13CD
                             closesocket 0x13CE
                                 connect 0x13CF
                             getpeername 0x13D0
                             getsockname 0x13D1
                             ioctlsocket 0x13D2
                                  listen 0x13D3
                                 recvmsg 0x13D4
                                 sendmsg 0x13D5
                          shutdownsocket 0x13D6
                                  socket 0x13D7
                               inet_addr 0x13D8
